Materiaallijst,,,,
,Aantal,Componentnummer/productinformatie,Prijs Per Stuk (€),Totaal per onderdeel (€)
Mechanisch gedeelte,,,,
Hout MDF,1,60cm*30cm*3mm,1,1
Onderdelen Lego*,,Geschatte kostprijs: €15,0,0
Duct Tape,,,0,0
Schroefogen,9,,0.12,1.08
Bouwpakket,2,,2.6,5.2
Tandwiel 50/10,10,841027,0.1,1
Tandwiel 30/10,10,841016,0.085,0.85
Zeskantmoeren,20,M3,,0
Bouten,30,3Mx10mm,0.08,2.4
Rondellen,80,,0.03,2.4
Draadstang,1,M3 x 1000,2.09,2.09
,,,,
Elektronica,,,,0
Arduino,1,,0,0
Relais,1,RTE24005AP,3,3
Mosfet,2,IRF3707ZPBF,,0
Weerstand,2,10k,0.05,0.1
Servomotor,2,T010050,11,22
Elektromotor,2,MM28,4,8
Afstandsensor,1,GP2D120XJ00F,16,16
LED,1,L-934 GD,0.1,0.1
Administratie en verzendkosten,,,,1
,,,Totaal,66.22
*De LEGO-onderdelen werden niet aangekochtmaar in bruikleen van een teamlid gebruikt.,,,,
